Submethod,PSNR,SSIM,LPIPS,Size [Bytes]
ContextGS_lowrate,21.310684204101562,0.5759165287017822,0.3767852783203125,17524536.1152
ContextGS_highrate,21.254013061523438,0.5757284164428711,0.3740721046924591,25394413.568
