Submethod,PSNR,SSIM,LPIPS,Size [Bytes]
ContextGS_lowrate,29.379030227661133,0.9121297597885132,0.19653573632240295,6605189.9392
ContextGS_highrate,29.67620086669922,0.9174813032150269,0.18708007037639618,9624669.3888
