Submethod,PSNR,SSIM,LPIPS,Size [Bytes]
ContextGS_lowrate,28.084165573120117,0.8877310752868652,0.19320841133594513,13792654.1312
ContextGS_highrate,27.98417854309082,0.8927845358848572,0.17696374654769897,21777455.5136
